genus,species,BPBM,svl (mm),meas,number,label,mean,min,max,angle,length,pixels,finger width (mm),toe width (mm),f/t,ant width (mm),pos width (mm),a/p
,,,,toe,15,IMG_4949.jpg,48,125.349,97.662,229.908,152.354,47.413,,,,,,
,,,,10mm,28,IMG_4964.jpg,692,138.677,27.684,225.425,7.989,690.704,,,,,,
,,,,anterior width,29,IMG_4964.jpg,121,148.436,106.14,176.295,-12.995,120.075,,,,,,
,,,,posterior width,30,IMG_4964.jpg,84,163.801,150.365,178.558,-12.529,82.976,,,,,,
Auparoparo,insulana,16547,21.8,10mm,1,IMG_4965.jpg,381,194.323,32.8,254.667,0.302,380.005,1.256878199,0.9270404337,1.355796525,1.885402721,1.243650364,1.516023133
,,,,finger,2,IMG_4965.jpg,49,117.161,90,152.028,169.749,47.762,,,,,,
,,,,toe,3,IMG_4965.jpg,36,103.853,71.476,134.667,-173.48,35.228,,,,,,
,,,,10mm,1,IMG_4977.jpg,422,154.744,22.322,220.233,169.33,421.284,,,,,,
,,,,anterior width,2,IMG_4977.jpg,80,101.465,87,110.809,169.114,79.429,,,,,,
,,,,posterior width,3,IMG_4977.jpg,53,116.224,101.667,122.742,166.759,52.393,,,,,,
Auparoparo,insulana,16546,21.4,10mm,4,IMG_4970.jpg,433,174.271,16.48,241.204,178.674,432.116,1.144993474,0.9187116422,1.246303433,1.450789852,1.266424395,1.145579521
,,,,finger,5,IMG_4970.jpg,50,135.818,96.226,178.389,-165.964,49.477,,,,,,
,,,,toe,6,IMG_4970.jpg,41,115.735,99.733,167.667,130.914,39.699,,,,,,
,,,,10mm,4,IMG_4980.jpg,501,164.15,47.494,218.072,158.518,499.714,,,,,,
,,,,anterior width,5,IMG_4980.jpg,73,135.827,118.917,152.694,155.556,72.498,,,,,,
,,,,posterior width,6,IMG_4980.jpg,64,152.919,135.857,166.864,148.57,63.285,,,,,,
Auparoparo,insulana,16549,16.9,10mm,7,IMG_4973.jpg,501,179.922,17.466,253.065,175.179,499.768,0.8413503866,0.5286452914,1.591521575,1.539136302,1.087381916,1.415451443
,,,,finger,8,IMG_4973.jpg,43,112.029,80.54,147.667,-177.274,42.048,,,,,,
,,,,toe,9,IMG_4973.jpg,27,109.484,90.667,132.308,-60.524,26.42,,,,,,
,,,,10mm,7,IMG_4983.jpg,623,149.979,18.309,222.126,162.613,622.44,,,,,,
,,,,anterior width,8,IMG_4983.jpg,97,107.782,87.711,127.845,166.109,95.802,,,,,,
,,,,posterior width,9,IMG_4983.jpg,69,148.169,127.323,227.635,167.196,67.683,,,,,,
